                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.86798,                0.86722,                 1.3548,                0.87248,                 0.8207,                0.86976,                 0.5781,                 1.1339,                0.93057,                 1.5624,              0.0009704,              0.0009704,              0.0009704
                     55,                0.87652,                0.86892,                 1.3571,                0.85941,                0.80539,                0.85927,                0.54441,                 1.1662,                 1.0395,                 1.5985,              0.0009506,              0.0009506,              0.0009506
                     56,                0.86214,                0.87273,                 1.3491,                0.88307,                0.80416,                0.87324,                0.56534,                 1.1783,                0.96847,                 1.6051,              0.0009308,              0.0009308,              0.0009308
                     57,                0.86221,                0.87997,                 1.3527,                0.87609,                0.78752,                0.87072,                0.56035,                 1.1332,                 0.9294,                 1.5742,               0.000911,               0.000911,               0.000911
                     58,                0.86487,                0.86076,                 1.3517,                0.89481,                0.80783,                  0.863,                0.55465,                 1.2012,                0.90121,                  1.641,              0.0008912,              0.0008912,              0.0008912
                     59,                0.84562,                0.86081,                  1.338,                0.88684,                0.80577,                0.86415,                 0.5596,                 1.1764,                0.91371,                 1.6107,              0.0008714,              0.0008714,              0.0008714
                     60,                0.84385,                0.83091,                 1.3378,                0.86774,                0.83476,                0.86024,                0.56225,                 1.1507,                0.91388,                 1.5926,              0.0008516,              0.0008516,              0.0008516
                     61,                0.85505,                0.84503,                 1.3434,                0.84882,                 0.7246,                0.80475,                0.51228,                 1.2047,                 1.1162,                 1.6751,              0.0008318,              0.0008318,              0.0008318
                     62,                0.82212,                0.82079,                 1.3258,                0.85998,                0.82497,                0.86882,                0.54241,                 1.2179,                0.97004,                 1.6492,               0.000812,               0.000812,               0.000812
                     63,                0.84346,                0.83678,                 1.3346,                0.87815,                0.83354,                0.87155,                0.58263,                 1.1143,                0.86641,                 1.5477,              0.0007922,              0.0007922,              0.0007922
                     64,                0.83658,                0.82312,                 1.3291,                0.89235,                0.81885,                0.86593,                0.55672,                 1.1591,                  0.916,                  1.594,              0.0007724,              0.0007724,              0.0007724
                     65,                0.81319,                0.80533,                 1.3114,                0.86769,                0.80416,                0.82759,                0.53316,                 1.1587,                  1.012,                  1.616,              0.0007526,              0.0007526,              0.0007526
                     66,                0.81911,                0.81809,                 1.3236,                0.88192,                0.75877,                0.85456,                0.54178,                 1.1586,                0.97544,                 1.5995,              0.0007328,              0.0007328,              0.0007328
                     67,                0.80737,                0.79085,                 1.3094,                0.89166,                0.82601,                 0.8782,                0.58433,                 1.1179,                0.86297,                 1.5657,               0.000713,               0.000713,               0.000713
                     68,                0.81436,                0.79375,                  1.321,                0.90733,                0.79315,                0.87874,                0.57155,                 1.1805,                0.90428,                 1.6142,              0.0006932,              0.0006932,              0.0006932
                     69,                0.82424,                0.81767,                 1.3198,                0.89515,                0.81885,                0.87932,                0.59029,                 1.1444,                0.85804,                 1.5846,              0.0006734,              0.0006734,              0.0006734
                     70,                  0.804,                0.77599,                 1.2972,                0.89155,                 0.8251,                0.87769,                0.56639,                 1.1649,                0.89347,                 1.6239,              0.0006536,              0.0006536,              0.0006536
                     71,                0.79141,                0.78222,                 1.3011,                0.88055,                 0.8301,                0.87586,                0.58003,                  1.157,                0.86261,                 1.6016,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.7953,                0.78472,                 1.2993,                0.88192,                0.79535,                0.87051,                0.56077,                   1.17,                0.92046,                  1.612,               0.000614,               0.000614,               0.000614
                     73,                0.80159,                0.76736,                 1.2967,                0.87373,                0.84333,                 0.8772,                0.58256,                  1.166,                0.84218,                 1.6058,              0.0005942,              0.0005942,              0.0005942
                     74,                0.79267,                0.75773,                  1.293,                0.89444,                0.83109,                0.88171,                0.58069,                 1.1555,                0.84186,                 1.5917,              0.0005744,              0.0005744,              0.0005744
                     75,                0.77992,                0.75632,                 1.2881,                0.86854,                0.86169,                0.87826,                0.58979,                 1.1584,                0.81422,                 1.6027,              0.0005546,              0.0005546,              0.0005546
                     76,                0.78306,                0.74601,                 1.2906,                0.87838,                0.86632,                0.87866,                0.58533,                 1.1546,                0.82337,                 1.5937,              0.0005348,              0.0005348,              0.0005348
                     77,                0.77618,                0.74996,                  1.289,                0.88801,                 0.8347,                 0.8759,                0.57587,                 1.1539,                0.82461,                 1.5891,               0.000515,               0.000515,               0.000515
                     78,                0.76585,                0.74757,                 1.2773,                0.88305,                0.81885,                0.87555,                0.57879,                 1.1416,                0.86476,                 1.5778,              0.0004952,              0.0004952,              0.0004952
                     79,                0.76678,                0.74779,                  1.282,                 0.8901,                0.82281,                0.87807,                0.57842,                  1.163,                0.85713,                 1.6018,              0.0004754,              0.0004754,              0.0004754
