                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.85939,                0.71675,                 1.2977,                0.86227,                0.87313,                0.89752,                0.57002,                 1.2891,                0.73349,                 1.8173,              0.0090199,              0.0090199,              0.0090199
                    102,                 0.8577,                0.71274,                 1.2943,                0.87885,                0.86382,                 0.8982,                0.57856,                 1.2856,                0.73333,                  1.819,                0.00901,                0.00901,                0.00901
                    103,                0.85986,                0.70925,                 1.2961,                0.89609,                0.85726,                0.89998,                0.58194,                 1.2786,                0.74419,                 1.8057,              0.0090001,              0.0090001,              0.0090001
                    104,                0.86028,                0.73034,                 1.3026,                0.87317,                0.85284,                0.89047,                0.57588,                 1.2859,                0.75366,                 1.8242,              0.0089902,              0.0089902,              0.0089902
                    105,                0.86647,                0.72493,                 1.3035,                0.89348,                0.84413,                0.89625,                0.57999,                 1.2817,                0.75165,                 1.8075,              0.0089803,              0.0089803,              0.0089803
                    106,                0.87147,                 0.7201,                 1.3039,                0.89014,                0.85079,                0.89224,                0.57553,                 1.2797,                0.73846,                 1.8186,              0.0089704,              0.0089704,              0.0089704
                    107,                0.85218,                0.70894,                 1.2912,                 0.8728,                0.86792,                0.89307,                0.58183,                 1.2739,                0.75274,                 1.8182,              0.0089605,              0.0089605,              0.0089605
                    108,                0.85188,                 0.7097,                 1.2916,                0.87842,                0.86538,                0.90451,                0.58199,                  1.282,                0.74511,                 1.8203,              0.0089506,              0.0089506,              0.0089506
                    109,                0.85553,                0.70476,                 1.2944,                0.87617,                0.87067,                0.90324,                0.57943,                 1.2662,                0.73779,                 1.8062,              0.0089407,              0.0089407,              0.0089407
                    110,                0.85315,                0.70926,                 1.2975,                0.87503,                0.86731,                0.90562,                0.57859,                 1.2792,                0.73851,                 1.8146,              0.0089308,              0.0089308,              0.0089308
                    111,                0.85399,                0.71789,                 1.3028,                0.86253,                0.87121,                0.89647,                0.58084,                 1.2838,                 0.7502,                 1.8301,              0.0089209,              0.0089209,              0.0089209
                    112,                0.84993,                0.70396,                 1.2918,                0.88784,                0.84421,                0.89734,                0.58323,                 1.2629,                0.73254,                 1.8153,               0.008911,               0.008911,               0.008911
